history,marg_count,p_emp,p_neural,p_gt
,999996,0.5039060156240625,0.5011718046872187,0.5038759689922481
1,503904,0.3604337334095383,0.35705220450342895,0.36000000000000004
0,496092,0.649637567225434,0.6562133458834977,0.65
01,322280,0.5283169914360184,0.533159833090017,0.52734375
10,322280,0.5618964875263746,0.5636014770714415,0.5625
11,181624,0.0625357882218209,0.06341501437619829,0.0625
101,181088,0.5017560523060611,0.5076734979937099,0.5
00,173812,0.8123259613835638,0.8103757730530865,0.8124999999999999
011,170266,0.06261379253638424,0.0645321450128458,0.0625
110,170266,0.5620558420354034,0.558549901876044,0.5625
0110,159605,0.5617618495661163,0.5630519896558235,0.5625
010,152014,0.5617179996579262,0.5638443778185523,0.5625
001,141192,0.562383137854836,0.5493332527306145,0.5625
100,141192,0.8128718340982491,0.810473996587325,0.8125
1001,114771,0.5623284627649842,0.5360471487446213,0.5625
1101,95699,0.5013427517528919,0.5030820218192988,0.5
1011,90862,0.06299663225550835,0.06401508988279506,0.0625
1010,90226,0.5591182142619644,0.5566393384850288,0.5625
0101,85389,0.5022192554076051,0.510340444961231,0.5
0011,79404,0.06217570903229056,0.06368266616484873,0.0625
1100,74567,0.8139659634959164,0.8124075851536174,0.8125
0100,66625,0.8116472795497186,0.8129916322454958,0.8125
0010,61788,0.5654981549815498,0.5636123058053636,0.5625
000,32620,0.8099632127529123,0.8093580912562315,0.8125
0001,26421,0.562620642670603,0.5462937423798728,0.5625
1000,26421,0.809166950531774,0.8132518325019733,0.8125
111,11358,0.06136643775312555,0.0626939623480875,0.0625
0111,10661,0.06143888940999906,0.06313618882217734,0.0625
1110,10661,0.5664571803770754,0.5638105081222017,0.5625
0000,6199,0.8133569930633974,0.8146114544747672,0.8125
1111,697,0.06025824964131994,0.062112453750192184,0.0625
