history,marg_count,p_emp,p_neural,p_gt
,999996,0.5039060156240625,0.5,0.5038759689922481
1,503904,0.3604337334095383,0.34469815061395914,0.36000000000000004
0,496092,0.649637567225434,0.6682100495162621,0.65
01,322280,0.5283169914360184,0.5363134901617017,0.52734375
10,322280,0.5618964875263746,0.5674490928649902,0.5625
11,181624,0.0625357882218209,0.053013818845770604,0.0625
101,181088,0.5017560523060611,0.5095116344239821,0.5
00,173812,0.8123259613835638,0.82406351673887,0.8124999999999999
011,170266,0.06261379253638424,0.05442210841849065,0.0625
110,170266,0.5620558420354034,0.5596580672162195,0.5625
0110,159605,0.5617618495661163,0.5666714310646057,0.5625
010,152014,0.5617179996579262,0.5679019093513489,0.5625
001,141192,0.562383137854836,0.54541866345946,0.5625
100,141192,0.8128718340982491,0.82396922218662,0.8125
1001,114771,0.5623284627649842,0.5251213595198775,0.5625
1101,95699,0.5013427517528919,0.5026758163369949,0.5
1011,90862,0.06299663225550835,0.05360808103662548,0.0625
1010,90226,0.5591182142619644,0.5580851005937189,0.5625
0101,85389,0.5022192554076051,0.5133798275405117,0.5
0011,79404,0.06217570903229056,0.05349719138052108,0.0625
1100,74567,0.8139659634959164,0.8262776732444763,0.8125
0100,66625,0.8116472795497186,0.8281159277541053,0.8125
0010,61788,0.5654981549815498,0.5658150574079122,0.5625
000,32620,0.8099632127529123,0.8236190553960345,0.8125
0001,26421,0.562620642670603,0.5406614976924211,0.5625
1000,26421,0.809166950531774,0.829557478427887,0.8125
111,11358,0.06136643775312555,0.052537788690890964,0.0625
0111,10661,0.06143888940999906,0.053078441230105126,0.0625
1110,10661,0.5664571803770754,0.5656783580780029,0.5625
0000,6199,0.8133569930633974,0.8297046771733559,0.8125
1111,697,0.06025824964131994,0.05221778860525944,0.0625
